Rank,Handle,Profile URL,Who They Are,Followers,Category,Hawaii,Dollar Potential,Network Value,Best Move,Source
1,leilahurst,https://www.instagram.com/leilahurst/,Leila Byram — Athlete massive reach,69900,influencer,N,None,Med,DM collab request; one post = huge visibility,Both
2,humphreysaccaro,https://www.instagram.com/humphreysaccaro/,HUMPHREY — Honolulu celebrity dog,64300,business_local,Y,--,--,Dog page miscategorized as hospitality; no business entity,High Follower
3,emerson_and_co,https://www.instagram.com/emerson_and_co/,Emerson Retrievers — Golden retriever family,58400,influencer,N,--,--,Large dog account but mainland-based no fundraising path,High Follower
4,psychological_vigilante,https://www.instagram.com/psychological_vigilante/,Jen_Nay — Lifestyle influencer,48400,influencer,N,--,--,Large following but no evident HI/service dog/nonprofit connection,High Follower
5,yafavoritelatinaa,https://www.instagram.com/yafavoritelatinaa/,Asianna Saragosa-Llarinas — HI media personality,43800,influencer,N,None,High,Pitch service dog story for KHON2/HI NOW feature,Both
6,hawaiianelectric,https://www.instagram.com/hawaiianelectric/,Hawaiian Electric — Major HI utility,33400,corporate,Y,--,--,Top fundraising prospect; CSR sponsorship target,High Follower
7,imjakeacedo,https://www.instagram.com/imjakeacedo/,Jake Acedo — Public figure 22K+ reach,22800,influencer,N,None,Med,DM for service dog awareness collab post,Both
8,long_live_our_animals,https://www.instagram.com/long_live_our_animals/,Animal wellness advocate,22600,pet_industry,N,--,--,Veterinary subcategory excluded; individual advocate no biz,High Follower
9,michaelsunlee,https://www.instagram.com/michaelsunlee/,Michael Sun Lee — Artist entertainer,17600,influencer,N,None,Med,Invite to fundraiser event as featured guest,Both
10,fishcakehawaii,https://www.instagram.com/fishcakehawaii/,fishcake — Creative co-working & events hub,15800,organization,Y,--,--,Top venue partner; donor-class member network,High Follower
11,thepublicpet,https://www.instagram.com/thepublicpet/,The Public Pet — Urban pet supply Kaimuki,15500,pet_industry,Y,--,--,Premier HI pet retailer; co-branded event partner,High Follower
12,hanakoabrewing,https://www.instagram.com/hanakoabrewing/,Hana Koa Brewing — Craft brewery & restaurant,15300,business_local,Y,--,--,Top fundraising prospect; venue + sponsorship,High Follower
13,im.alexis.renae,https://www.instagram.com/im.alexis.renae/,Alexis Renae — HI model CEO Role Models 808,10300,influencer,Y,Low,High,Collab on youth empowerment + service dog event,Tier 3
14,thecoconutpages,https://www.instagram.com/thecoconutpages/,The Coconut Pages — HI food/health/community network,8697,community,Y,None,High,Feature collab; they amplify local HI brands,Tier 3
15,mrjasontom,https://www.instagram.com/mrjasontom/,Jason Tom — TEDx HNL speaker educator blogger,7894,influencer,Y,None,High,Invite to speak or amplify at fundraiser event,Tier 3
16,adriennearieff,https://www.instagram.com/adriennearieff/,Adrienne Arieff — Founder Link Creative author,5851,influencer,N,Low,High,Leverage brand/nonprofit expertise for intros,Tier 3
17,greataloharun,https://www.instagram.com/greataloharun/,Great Aloha Run — Major HI running event,5689,organization,Y,Low,High,Propose service dog presence at future events,Tier 3
18,kanter,https://www.instagram.com/kanter/,Beth Kanter — Nonprofit AI/tech author & trainer,5387,influencer,N,Low,High,Pitch nonprofit tech collab donor network access,Tier 3
19,sunny_aloha_in_paradise,https://www.instagram.com/sunny_aloha_in_paradise/,Sunny Aloha — HI radio host & PR professional,3905,media,Y,Low,High,Pitch radio segment on service dogs in Hawaii,Tier 3
20,finnowitz,https://www.instagram.com/finnowitz/,Amanda Finn — HI-based casting & film industry,3481,media,Y,Low,Med,Explore film/media feature on service dogs,Tier 3
21,shotsbyremy,https://www.instagram.com/shotsbyremy/,Candid Moments — HI event/sports photographer,1535,photographer,Y,None,Med,Hire for event photography trade for exposure,Tier 3
22,alohasunshinephotography,https://www.instagram.com/alohasunshinephotography/,Aloha Sunshine — HI photographer mom of 8,1355,photographer,Y,None,Low,Offer event photo trade for social media posts,Tier 3
23,pono_shell_creations,https://www.instagram.com/pono_shell_creations/,Pono Shell Creations — Wahine-made HI gifts,1048,business_local,Y,Low,Med,Co-vendor at craft events cross-promote,Tier 3
24,artbridgeevents,https://www.instagram.com/artbridgeevents/,Chanel Tanaka — Waikiki artist & events,505,artist,Y,None,Low,Explore art fundraiser collaboration,Tier 3
25,relei808,https://www.instagram.com/relei808/,RE-LEI — Creative reuse competition for nonprofits,291,nonprofit,Y,None,Med,Natural mission alignment; co-host green event,Tier 3
