Rank,Handle,Profile URL,Who They Are,Followers,Hawaii,Dollar Potential,Network Value,Best Move
1,leilahurst,https://www.instagram.com/leilahurst/,Leila Byram — Athlete massive reach,69900,N,None,Med,DM collab request; one post = huge visibility
2,yafavoritelatinaa,https://www.instagram.com/yafavoritelatinaa/,Asianna Saragosa-Llarinas — HI media personality,43800,N,None,High,Pitch service dog story for KHON2/HI NOW feature
3,imjakeacedo,https://www.instagram.com/imjakeacedo/,Jake Acedo — Public figure 22K+ reach,22800,N,None,Med,DM for service dog awareness collab post
4,michaelsunlee,https://www.instagram.com/michaelsunlee/,Michael Sun Lee — Artist entertainer,17600,N,None,Med,Invite to fundraiser event as featured guest
5,im.alexis.renae,https://www.instagram.com/im.alexis.renae/,Alexis Renae — HI model CEO Role Models 808,10300,Y,Low,High,Collab on youth empowerment + service dog event
6,thecoconutpages,https://www.instagram.com/thecoconutpages/,The Coconut Pages — HI food/health/community network,8697,Y,None,High,Feature collab; they amplify local HI brands
7,mrjasontom,https://www.instagram.com/mrjasontom/,Jason Tom — TEDx HNL speaker educator blogger,7894,Y,None,High,Invite to speak or amplify at fundraiser event
8,adriennearieff,https://www.instagram.com/adriennearieff/,Adrienne Arieff — Founder Link Creative author,5851,N,Low,High,Leverage brand/nonprofit expertise for intros
9,greataloharun,https://www.instagram.com/greataloharun/,Great Aloha Run — Major HI running event,5689,Y,Low,High,Propose service dog presence at future events
10,kanter,https://www.instagram.com/kanter/,Beth Kanter — Nonprofit AI/tech author & trainer,5387,N,Low,High,Pitch nonprofit tech collab donor network access
11,sunny_aloha_in_paradise,https://www.instagram.com/sunny_aloha_in_paradise/,Sunny Aloha — HI radio host & PR professional,3905,Y,Low,High,Pitch radio segment on service dogs in Hawaii
12,finnowitz,https://www.instagram.com/finnowitz/,Amanda Finn — HI-based casting & film industry,3481,Y,Low,Med,Explore film/media feature on service dogs
13,shotsbyremy,https://www.instagram.com/shotsbyremy/,Candid Moments — HI event/sports photographer,1535,Y,None,Med,Hire for event photography trade for exposure
14,alohasunshinephotography,https://www.instagram.com/alohasunshinephotography/,Aloha Sunshine — HI photographer mom of 8,1355,Y,None,Low,Offer event photo trade for social media posts
15,pono_shell_creations,https://www.instagram.com/pono_shell_creations/,Pono Shell Creations — Wahine-made HI gifts,1048,Y,Low,Med,Co-vendor at craft events cross-promote
16,artbridgeevents,https://www.instagram.com/artbridgeevents/,Chanel Tanaka — Waikiki artist & events,505,Y,None,Low,Explore art fundraiser collaboration
17,relei808,https://www.instagram.com/relei808/,RE-LEI — Creative reuse competition for nonprofits,291,Y,None,Med,Natural mission alignment; co-host green event
